Year-Day,Date,Start Time (UTC),End Time (UTC),Comments,start,end
2000-196 - 2000-197,"July 14, 2000 - July 15, 2000",23:35:00,00:00:00,L0 Outage; S/C Data Anomaly,2000-07-14,2000-07-15
2000-195,"July 13, 2000",20:00:00,20:25:00,L0 Outage; S/C Data Anomaly,2000-07-13,
2000-194,"July 12, 2000",03:45:00,04:00:00,L0 Outage; S/C Data Anomaly,2000-07-12,
2000-188,"July 6, 2000",18:30:00,18:40:00,L0 Outage; SSR Full,2000-07-06,
2000-184,"July 2, 2000",16:10:00,17:40:00,L0 Outage; EDOS Data Problem,2000-07-02,
2000-184,"July 2, 2000",03:20:00,04:00:00,L0 Outage; EDOS Data Problem,2000-07-02,
2000-181,"June 29, 2000",01:20:00,02:00:00,L0 Outage; S/C Data Anomaly,2000-06-29,
2000-180,"June 28, 2000",00:00:00,00:05:00,"Ancillary Outage; LRS Data Loss due to bad weather, 4837",2000-06-28,
2000-179 - 2000-180,"June 27, 2000 - June 28, 2000",07:40:00,00:00:00,"L0 Outage; RF Problem, 4837",2000-06-27,2000-06-28
2000-179,"June 27, 2000",06:30:00,07:30:00,"L0 Outage; RF Problem, 4837",2000-06-27,
2000-179,"June 27, 2000",06:15:00,06:30:00,"Ancillary Outage; LRS Data Loss due to bad weather, 4837",2000-06-27,
2000-178,"June 26, 2000",21:15:00,22:00:00,L0 Outage; EDOS Data Problem,2000-06-26,
2000-178,"June 26, 2000",16:30:00,16:35:00,L0 Outage; EDOS Data Problem,2000-06-26,
2000-178,"June 26, 2000",02:00:00,02:20:00,L0 Outage; EDOS Data Problem,2000-06-26,
2000-173 - 2000-174,"June 21, 2000 - June 22, 2000",20:10:00,02:45:00,LDOPE Outage; MODIS Roll 3/4/5,2000-06-21,2000-06-22
2000-172,"June 20, 2000",17:15:00,20:05:00,LDOPE Outage; Delta-V 4,2000-06-20,
2000-168 - 2000-169,"June 16, 2000 - June 17, 2000",23:35:00,00:00:00,L0 Outage; EDOS Data Problem,2000-06-16,2000-06-17
2000-168,"June 16, 2000",18:00:00,20:00:00,L0 Outage; EDOS Data Problem,2000-06-16,
2000-168,"June 16, 2000",15:45:00,16:00:00,L0 Outage; EDOS Data Problem,2000-06-16,
2000-167,"June 15, 2000",16:10:00,23:15:00,LDOPE Outage; CERES YAW1/2,2000-06-15,
2000-167,"June 15, 2000",05:15:00,05:20:00,"L0 Outage; Corrupt Data, 4565",2000-06-15,
2000-166,"June 14, 2000",17:40:00,18:00:00,L0 Outage; S/C Data Anomaly,2000-06-14,
2000-165,"June 13, 2000",22:00:00,22:35:00,L0 Outage; Corrupt Data,2000-06-13,
2000-164,"June 12, 2000",16:25:00,16:55:00,L0 Outage; S/C Data Anomaly,2000-06-12,
2000-164,"June 12, 2000",14:30:00,16:15:00,L0 Outage; S/C Data Anomaly,2000-06-12,
2000-164,"June 12, 2000",12:05:00,13:30:00,"Ancillary Outage; SSR Full, 4561",2000-06-12,
2000-163,"June 11, 2000",09:05:00,12:00:00,L0 Outage; S/C Data Anomaly,2000-06-11,
2000-159,"June 7, 2000",21:25:00,22:00:00,L0 Outage; EDOS Data Problem,2000-06-07,
2000-159,"June 7, 2000",16:15:00,16:25:00,L0 Outage; EDOS Data Problem,2000-06-07,
2000-159,"June 7, 2000",15:50:00,16:05:00,L0 Outage; EDOS Data Problem,2000-06-07,
2000-152,"May 31, 2000",11:20:00,12:00:00,L0 Outage; S/C Data Anomaly,2000-05-31,
2000-151,"May 30, 2000",05:40:00,06:00:00,L0 Outage; S/C Data Anomaly,2000-05-30,
2000-150,"May 29, 2000",15:10:00,16:00:00,L0 Outage; S/C Data Anomaly,2000-05-29,
2000-149 - 2000-150,"May 28, 2000 - May 29, 2000",22:50:00,14:00:00,L0 Outage; S/C Data Anomaly,2000-05-28,2000-05-29
2000-147 - 2000-148,"May 26, 2000 - May 27, 2000",23:00:00,00:00:00,L0 Outage; S/C Data Anomaly,2000-05-26,2000-05-27
2000-143,"May 22, 2000",11:35:00,12:00:00,"L0 Outage; S/C Data Anomaly, 4673",2000-05-22,
2000-134,"May 13, 2000",17:30:00,17:50:00,L0 Outage; Diagnostic Studies,2000-05-13,
2000-132,"May 11, 2000",13:25:00,13:35:00,Ancillary Outage; Missing Attitude Data; S/C Data Anomaly,2000-05-11,
2000-132,"May 11, 2000",12:05:00,13:25:00,L0 Outage; S/C Data Anomaly,2000-05-11,
2000-130,"May 9, 2000",12:00:00,14:00:00,L0 Outage; S/C Data Anomaly,2000-05-09,
2000-129,"May 8, 2000",16:25:00,17:35:00,L0 Outage; S/C Data Anomaly,2000-05-08,
2000-128,"May 7, 2000",12:40:00,13:25:00,L0 Outage; S/C Data Anomaly,2000-05-07,
2000-116,"April 25, 2000",21:35:00,22:55:00,"Ancillary Outage; Bad Attitude Data, SSR Err",2000-04-25,
2000-104,"April 13, 2000",12:30:00,22:15:00,LDOPE Outage; IRU Cal 1st/2nd Roll; IRU Cal 1st/2nd YAW,2000-04-13,
2000-103,"April 12, 2000",18:20:00,22:20:00,LDOPE Outage; Delta-V 2,2000-04-12,
2000-103,"April 12, 2000",16:35:00,16:40:00,L0 Outage; S/C Data Anomaly,2000-04-12,
2000-084,"March 24, 2000",15:20:00,22:30:00,LDOPE Outage; MODIS Roll 1/2,2000-03-24,
2000-081,"March 21, 2000",08:00:00,10:00:00,L0 Outage; S/C Data Anomaly,2000-03-21,
2000-079,"March 19, 2000",18:10:00,20:00:00,L0 Outage; S/C Data Anomaly,2000-03-19,
2000-079,"March 19, 2000",16:50:00,17:25:00,L0 Outage; S/C Data Anomaly,2000-03-19,
2000-079,"March 19, 2000",16:35:00,16:40:00,L0 Outage; S/C Data Anomaly,2000-03-19,
2000-078,"March 18, 2000",16:15:00,17:10:00,L0 Outage; S/C Data Anomaly,2000-03-18,
2000-078,"March 18, 2000",08:00:00,10:00:00,L0 Outage; S/C Data Anomaly,2000-03-18,
2000-077,"March 17, 2000",10:20:00,11:45:00,L0 Outage; S/C Data Anomaly,2000-03-17,
2000-077,"March 17, 2000",02:35:00,03:30:00,L0 Outage; S/C Data Anomaly,2000-03-17,
2000-076 - 2000-077,"March 16, 2000 - March 17, 2000",14:05:00,01:35:00,LDOPE Outage; Cal Slew 1st/2nd Roll Part 2??; Cal Slew 1st/2nd YAW Part 2??,2000-03-16,2000-03-17
2000-075 - 2000-076,"March 15, 2000 - March 16, 2000",13:20:00,00:55:00,LDOPE Outage; Cal Slew 1st/2nd Roll Part 1??; Cal Slew 1st/2nd YAW Part 1??,2000-03-15,2000-03-16
2000-073 - 2000-074,"March 13, 2000 - March 14, 2000",22:00:00,02:00:00,L0 Outage; S/C Data Anomaly,2000-03-13,2000-03-14
2000-070,"March 10, 2000",12:50:00,13:20:00,L0 Outage; S/C Data Anomaly,2000-03-10,
2000-070,"March 10, 2000",11:50:00,12:00:00,L0 Outage; S/C Data Anomaly,2000-03-10,
2000-069,"March 9, 2000",04:00:00,06:00:00,L0 Outage; S/C Data Anomaly,2000-03-09,
2000-069,"March 9, 2000",01:40:00,02:05:00,L0 Outage; S/C Data Anomaly,2000-03-09,
2000-068,"March 8, 2000",19:10:00,19:35:00,L0 Outage; Buffer Disabled,2000-03-08,
2000-068,"March 8, 2000",17:55:00,18:15:00,L0 Outage; Buffer Disabled,2000-03-08,
2000-067,"March 7, 2000",15:25:00,16:00:00,L0 Outage; Buffer Disabled,2000-03-07,
2000-067,"March 7, 2000",13:45:00,14:00:00,"Ancillary Outage; Missing Attitude Data (Unknown), 4674",2000-03-07,
2000-067,"March 7, 2000",12:35:00,12:55:00,L0 Outage; Buffer Disabled,2000-03-07,
2000-067,"March 7, 2000",12:20:00,12:25:00,L0 Outage; Buffer Disabled,2000-03-07,
2000-066,"March 6, 2000",23:00:00,23:15:00,Ancillary Outage; Bad Attitude Data; (MODAPS C6),2000-03-06,
2000-062,"March 2, 2000",22:15:00,23:05:00,"L0 Outage; Buffer Overwritten; Bugs 4339, 4521",2000-03-02,
2000-061,"March 1, 2000",18:20:00,22:00:00,L0 Outage; S/C Data Anomaly,2000-03-01,
2000-059,"February 28, 2000",18:00:00,20:00:00,L0 Outage; S/C Data Anomaly,2000-02-28,
2000-058,"February 27, 2000",11:50:00,12:35:00,L0 Outage; S/C Data Anomaly,2000-02-27,
2000-058,"February 27, 2000",04:50:00,04:55:00,Ancillary Lost; Bad Attitude Data; Attempting to recover,2000-02-27,
2000-056,"February 25, 2000",19:30:00,20:00:00,L0 Outage; S/C Data Anomaly,2000-02-25,
2000-056,"February 25, 2000",16:05:00,18:05:00,"Ancillary Outage, S/C SFE Anomaly (LRS data loss)",2000-02-25,
2000-056,"February 25, 2000",16:00:00,16:05:00,L0 Outage; S/C Data Anomaly,2000-02-25,
2000-056,"February 25, 2000",12:30:00,14:05:00,"Ancillary Outage, HouseKeeping Data Missing (unknown)",2000-02-25,
2000-056,"February 25, 2000",11:10:00,12:30:00,L0 Outage Outage; S/C Data Anomaly/Bad Attitude Data,2000-02-25,
2000-056,"February 25, 2000",05:20:00,09:50:00,L0 Outage; S/C Data Anomaly,2000-02-25,
2000-056,"February 25, 2000",05:15:00,05:20:00,"Ancillary Outage, S/C SFE Anomaly (LRS data loss)",2000-02-25,
2000-055,"February 24, 2000",09:10:00,10:00:00,"Ancillary Outage, HouseKeeping Data Missing",2000-02-24,
2000-055,"February 24, 2000",08:00:00,09:10:00,L0 Outage; First Light/Bad L0 Data,2000-02-24,
2000-055,"February 24, 2000",06:50:00,07:30:00,L0 Outage; First Light/Bad L0 Data,2000-02-24,
2000-055,"February 24, 2000",02:00:00,04:00:00,L0 Outage; First Light/Bad L0 Data,2000-02-24,
